id,title,name,info,image_thumb,image_full,type,category,price,collection,s,m,l,xl,slug 
11,Grey Essentials Men's Canvas Slip On Loafer,Grey Essentials Men's Canvas Slip,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/81fzA3MYiRL._AC_UX500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81957UXNb%2BL._AC_UX500_.jpg,Casual,men,30,new_arrival,1,2,4,2,grey-essentials-mens-canvas-slip
12,Khaki Essentials Men's Canvas Slip On Loafer,Khaki Essentials Men's Canvas Slip,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/81vLPS9f4ML._AC_SX500._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/81N7QA0ULoL._AC_SX500._SX._UX._SY._UY_.jpg,Casual,men,30,new_arrival,2,5,2,0,khaki-essentials-mens-canvas-slip
13,Blue Lugz Men's Clipper Sneaker,Blue Lugz Men's Clipper Sneaker,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/71PclrdiFrL._AC_SX500._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/71qht+sK5CL._AC_SX500._SX._UX._SY._UY_.jpg,Casual,men,44.99,reqular,3,2,1,4,blue-lugz-mens-clipper-sneaker
14,Blue Lugz Men's Clipper Sneaker,Blue Lugz Men's Clipper Sneaker,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/71PclrdiFrL._AC_SX500._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/71qht+sK5CL._AC_SX500._SX._UX._SY._UY_.jpg,Casual,men,45.99,reqular,2,3,1,1,blue-lugz-mens-clipper-sneaker
15,Olive Lugz Men's Clipper Sneaker,Olive Lugz Men's Clipper Sneaker,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/71PclrdiFrL._AC_SX500._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/71qht+sK5CL._AC_SX500._SX._UX._SY._UY_.jpg,Casual,men,46.99,reqular,0,1,2,1,olive-lugz-mens-clipper-sneaker
16,Camo Print Lugz Men's Clipper Sneaker,Camo Print Lugz Men's Clipper,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/71lflSSD+NL._AC_SX500._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/715FTY7WLhL._AC_SX500._SX._UX._SY._UY_.jpg,Casual,men,55.99,reqular,3,2,0,5,camo-print-lugz-mens-clipper
17,Clarks Men's Cotrell Step Slip-on Loafer,Clarks Men's Cotrell Step Slip-on,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/71acnw%2BAsNL._AC_UX500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71V7-00RsdL._AC_UX500_.jpg,Casual,men,39.98,reqular,0,1,3,3,clarks-mens-cotrell-step-slip-on
18,Skechers Men's Citywalk Malton Oxford Sneaker,Skechers Men's Citywalk Malton Oxford,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/71MkHMLjwUL._AC_UX500_.jpg,https://images-na.ssl-images-amazon.com/images/I/91NX1NTvmKL._AC_UX500_.jpg,Casual,men,55.95,reqular,4,1,2,5,skechers-mens-citywalk-malton-oxford
19,Clarks Men's Bushacre 2 Chukka Boot,Clarks Men's Bushacre 2 Chukka,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/517CNlVfHUL._AC_SX500._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/61M1l69PGML._AC_SX500._SX._UX._SY._UY_.jpg,Casual,men,42.98,reqular,3,0,2,0,clarks-mens-bushacre-2-chukka
20,Chocolate Clarks Men's Bushacre 2 Chukka Boot,Chocolate Clarks Men's Bushacre 2,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/715KeIt9aaL._AC_SX500._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/81rjvZ2fBVL._AC_SX500._SX._UX._SY._UY_.jpg,Casual,men,169.75,reqular,2,4,1,1,chocolate-clarks-mens-bushacre-2
21,Brooks Mens Ghost 12 Running Shoe,Brooks Mens Ghost 12 Running,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/81oO1UCR4qL._AC_UY625_.jpg,https://images-na.ssl-images-amazon.com/images/I/81Ed-DIc6rL._AC_UY625_.jpg,Sports,men ,213,new_arrival,4,0,3,2,brooks-mens-ghost-12-running
22,Impdoo Mens Air Athletic Running Sneaker Cute Fitness Sport Gym Jogging Tennis Shoes (US7-12.5 D(M),Impdoo Mens Air Athletic Running,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/81I9yn%2BPZfL._AC_UY625_.jpg,https://images-na.ssl-images-amazon.com/images/I/81wnNqwIXNL._AC_UY625_.jpg,Sports,men ,39.99,new_arrival,5,4,4,0,impdoo-mens-air-athletic-running
23,Nike Men's Downshifter 9 Running Shoe,Nike Men's Downshifter 9 Running,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/71WO%2BURZORL._AC_UX625_.jpg,https://images-na.ssl-images-amazon.com/images/I/719MxDnT06L._AC_UX625_.jpg,Sports,men ,199.99,reqular,3,1,0,3,nike-mens-downshifter-9-running
24,adidas Men's Ownthegame Wide Basketball Shoe,adidas Men's Ownthegame Wide Basketball,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/71h842LxIIL._AC_UX500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81nDPGHeCiL._AC_UX500_.jpg,Sports,men ,119.95,reqular,5,4,0,5,adidas-mens-ownthegame-wide-basketball
25,adidas Terrex AX3 Hiking Shoes Men's,adidas Terrex AX3 Hiking Shoes,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/81%2Bnf94pXgL._AC_UX500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81RUFM6dFFL._AC_UX500_.jpg,Sports,men ,160.32,reqular,1,2,2,5,adidas-terrex-ax3-hiking-shoes
26,Under Armour Men's Charged Assert 8 Running Shoe,Under Armour Men's Charged Assert,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/81eCsLb7eWL._AC_UX625_.jpg,https://images-na.ssl-images-amazon.com/images/I/61t1cL-cRsL._AC_UY625_.jpg,Sports,men ,70,reqular,0,0,4,2,under-armour-mens-charged-assert
27,Blue Nike Men's Revolution 5 Running Shoe,Blue Nike Men's Revolution 5,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/71ISYrX7IZL._AC_SX625._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/81d18a70cnL._AC_SX625._SX._UX._SY._UY_.jpg,Sports,men ,211.49,reqular,2,2,4,0,blue-nike-mens-revolution-5
28,Red Nike Men's Revolution 5 Running Shoe,Red Nike Men's Revolution 5,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/714J703U4xL._AC_SX625._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/81XIWCVdpUL._AC_SX625._SX._UX._SY._UY_.jpg,Sports,men ,212.49,reqular,1,2,1,4,red-nike-mens-revolution-5
29,Green-sapphire-dark Smoke Nike Men's Revolution 5 Running Shoe,Green-sapphire-dark Smoke Nike Men's Revolution,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/714P+p5GO6L._AC_SX625._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/810GUqJMRwL._AC_SX625._SX._UX._SY._UY_.jpg,Sports,men ,213.49,reqular,5,3,5,3,green-sapphire-dark-smoke-nike-mens-revolution
30,Nike Mens Air Max Torch 4 Running Sneaker,Nike Mens Air Max Torch,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/71kU7lrqw3L._AC_UX679_.jpg,https://images-na.ssl-images-amazon.com/images/I/71GMZVTMcsL._AC_UX679_.jpg,Sports,men ,199.99,reqular,4,2,0,5,nike-mens-air-max-torch
31,Caramel Calvin Klein Women's Brady Pump,Caramel Calvin Klein Women's Brady,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/813YtOF5a%2BL._AC_UX500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61-TlTswAcL._AC_UX500_.jpg,Formal ,Women,130.91,new_arrival,0,3,3,0,caramel-calvin-klein-womens-brady
32,Black Calvin Klein Women's Brady Pump,Black Calvin Klein Women's Brady,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/71HATa8g2GL._AC_SX500._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/71dv3JBXd3L._AC_SX500._SX._UX._SY._UY_.jpg,Formal ,Women,130.91,new_arrival,5,2,1,0,black-calvin-klein-womens-brady
33,Blue Calvin Klein Women's Brady Pump,Blue Calvin Klein Women's Brady,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/71+XslXPnrL._AC_SX500._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/61Feo3xSLIL._AC_SX500._SX._UX._SY._UY_.jpg,Formal ,Women,130.91,reqular,3,4,3,5,blue-calvin-klein-womens-brady
34,Naturalizer Women's Taimi,Naturalizer Women's Taimi,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/61hlE32xbkL._AC_UX500_.jpg,https://images-na.ssl-images-amazon.com/images/I/6157K9OCH2L._AC_UX500_.jpg,Formal ,Women,103.95,reqular,3,1,5,2,naturalizer-womens-taimi
35,Black Naturalizer Women's Taimi,Black Naturalizer Women's Taimi,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://m.media-amazon.com/images/I/71ZgElr+bVL._AC_SX500._SX._UX._SY._UY_.jpg,https://m.media-amazon.com/images/I/71oraTz0wfL._AC_SX500._SX._UX._SY._UY_.jpg,Formal ,Women,104.95,reqular,1,5,1,0,black-naturalizer-womens-taimi
36,Cambridge Select Women's Strappy Chunky Platform Glitter Wedge Sandal,Cambridge Select Women's Strappy Chunky,"Lorem Ipsum of is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",https://images-na.ssl-images-amazon.com/images/I/61Fyk43En5L._AC_UX500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61yIiAXPdUL._AC_UY535_.jpg,Formal ,Women,49.25,reqular,2,4,5,3,cambridge-select-womens-strappy-chunky
